Customer ID,Account Type,Account Tier,Amount(₦),Transaction Type,Sender's Location,Timestamp,Remark
Customer 01,Individual,Tier 2,16662.62,Withdrawal,Port Harcourt,8:30:11,Normal
Customer 02,Individual,Tier 2,23603.82,Transfer to a Third-Party,Abuja,5:07:44,Normal
Customer 03,Individual,Tier 2,32576.52,Payment for Goods/Services,Abuja,4:41:32,Normal
Customer 04,Corporate,Tier 1,2741.28,Payment for Goods/Services,Lagos,17:19:35,Normal
Customer 05,Corporate,Tier 1,15228.07,Payment for Goods/Services,Enugu,13:27:54,Normal
Customer 06,Individual,Tier 1,2757.12,Payment for Goods/Services,Abuja,14:20:22,Normal
Customer 07,Corporate,Tier 1,16208.42,Withdrawal,Port Harcourt,0:13:03,Normal
Customer 08,Corporate,Tier 1,31157.86,Transfer to a Third-Party,Port Harcourt,18:25:13,Normal
Customer 09,Corporate,Tier 2,53756.88,Withdrawal,Port Harcourt,11:55:36,Normal
Customer 10,Corporate,Tier 2,16940.46,Payment for Goods/Services,Abuja,18:22:14,Normal
Customer 11,Corporate,Tier 1,13781.24,Transfer to a Third-Party,Ibadan,17:52:13,Normal
Customer 12,Individual,Tier 1,13899.07,Withdrawal,Abuja,9:25:39,Normal
Customer 13,Corporate,Tier 2,12280.95,Payment for Goods/Services,Abuja,1:48:07,Normal
Customer 14,Corporate,Tier 1,20434.06,Withdrawal,Ibadan,19:00:02,Normal
Customer 15,Corporate,Tier 2,39712.93,Withdrawal,Lagos,18:24:33,Normal
Customer 16,Corporate,Tier 1,4913.85,Payment for Goods/Services,Ibadan,23:08:10,Normal
Customer 17,Corporate,Tier 2,11460.25,Transfer to a Third-Party,Lagos,9:00:00,Normal
Customer 18,Individual,Tier 2,8581.6,Transfer to a Third-Party,Abuja,22:42:57,Normal
Customer_Special 01,Individual,Tier 3,573223.69,Withdrawal,Enugu,9:06:25,Normal
Customer 20,Individual,Tier 1,13191.24,Withdrawal,Enugu,20:27:27,Normal
Customer 21,Corporate,Tier 1,17260.88,Withdrawal,Abuja,11:11:18,Normal
Customer 22,Corporate,Tier 2,20743.74,Withdrawal,Enugu,0:26:53,Normal
Customer 23,Individual,Tier 3,43203.36,Withdrawal,Port Harcourt,10:32:09,Normal
Customer 24,Corporate,Tier 2,10940.68,Payment for Goods/Services,Enugu,14:04:00,Normal
Customer 25,Individual,Tier 2,32464.64,Withdrawal,Abuja,14:35:46,Normal
Customer 26,Corporate,Tier 1,15331.21,Withdrawal,Enugu,9:47:56,Normal
Customer 27,Corporate,Tier 1,46733.8,Withdrawal,Port Harcourt,23:47:55,Normal
Customer 28,Corporate,Tier 1,16469.8,Payment for Goods/Services,Lagos,3:26:06,Normal
Customer 29,Individual,Tier 2,9163.59,Transfer to a Third-Party,Ibadan,2:21:38,Normal
Customer 30,Individual,Tier 1,2635.15,Transfer to a Third-Party,Port Harcourt,1:34:59,Normal
Customer 31,Individual,Tier 1,23559.47,Transfer to a Third-Party,Enugu,6:24:57,Normal
Customer 32,Corporate,Tier 2,19190.98,Payment for Goods/Services,Enugu,10:29:19,Normal
Customer 33,Individual,Tier 3,6293.0,Payment for Goods/Services,Port Harcourt,13:45:35,Normal
Customer_Special 04,Individual,Tier 3,679140.2,Withdrawal,Ibadan,22:53:01,Normal
Customer 35,Individual,Tier 2,10944.33,Payment for Goods/Services,Enugu,21:34:08,Normal
Customer 36,Individual,Tier 3,16222.88,Withdrawal,Port Harcourt,2:07:41,Normal
Customer 37,Individual,Tier 1,53745.44,Transfer to a Third-Party,Port Harcourt,1:40:58,Normal
Customer 38,Corporate,Tier 1,12355.2,Payment for Goods/Services,Ibadan,18:25:14,Normal
Customer 39,Individual,Tier 2,33801.59,Payment for Goods/Services,Port Harcourt,12:50:05,Normal
Customer 40,Individual,Tier 2,2282.84,Payment for Goods/Services,Enugu,6:37:28,Normal
Customer 41,Individual,Tier 2,13864.23,Withdrawal,Enugu,7:15:25,Normal
Customer 42,Corporate,Tier 1,29334.17,Withdrawal,Abuja,14:32:14,Normal
Customer 43,Corporate,Tier 2,5048.53,Payment for Goods/Services,Enugu,13:15:11,Normal
Customer 44,Corporate,Tier 2,8028.2,Payment for Goods/Services,Abuja,16:21:26,Normal
Customer 45,Individual,Tier 1,4716.09,Transfer to a Third-Party,Port Harcourt,5:43:40,Normal
Customer 46,Individual,Tier 2,7155.88,Payment for Goods/Services,Enugu,15:10:54,Normal
Customer 47,Individual,Tier 1,7914.31,Transfer to a Third-Party,Ibadan,6:23:38,Normal
Customer 48,Corporate,Tier 3,31647.45,Withdrawal,Abuja,23:59:12,Normal
Customer 49,Corporate,Tier 3,11542.05,Payment for Goods/Services,Abuja,2:21:24,Normal
Customer 50,Individual,Tier 2,25341.43,Transfer to a Third-Party,Port Harcourt,21:01:45,Normal
Customer 51,Individual,Tier 3,8137682.82,Transfer to a Third-Party,Enugu,9:52:17,Suspicious
Customer 52,Individual,Tier 1,40388.43,Payment for Goods/Services,Abuja,2:28:04,Normal
Customer 53,Individual,Tier 2,323.48,Payment for Goods/Services,Ibadan,7:42:55,Normal
Customer 54,Individual,Tier 2,35115.05,Transfer to a Third-Party,Enugu,14:09:35,Normal
Customer 55,Individual,Tier 2,11124.39,Withdrawal,Lagos,10:37:25,Normal
Customer 56,Individual,Tier 1,17429.49,Withdrawal,Enugu,0:32:33,Normal
Customer 57,Corporate,Tier 2,84480.03,Withdrawal,Abuja,16:50:31,Normal
Customer 58,Corporate,Tier 1,32844.34,Transfer to a Third-Party,Lagos,1:54:38,Normal
Customer 59,Corporate,Tier 1,8820.43,Transfer to a Third-Party,Port Harcourt,21:07:02,Normal
Customer 60,Individual,Tier 2,23891.85,Payment for Goods/Services,Ibadan,16:41:48,Normal
Customer 61,Corporate,Tier 2,3938.42,Transfer to a Third-Party,Port Harcourt,15:08:43,Normal
Customer 62,Individual,Tier 2,11229.51,Withdrawal,Lagos,8:56:49,Normal
Customer 63,Individual,Tier 2,10771.51,Transfer to a Third-Party,Abuja,8:11:32,Normal
Customer 64,Individual,Tier 1,18937.46,Transfer to a Third-Party,Enugu,4:10:11,Normal
Customer 65,Individual,Tier 2,40467.64,Payment for Goods/Services,Abuja,16:37:51,Normal
Customer 66,Individual,Tier 1,9299.67,Withdrawal,Abuja,15:24:12,Normal
Customer 67,Corporate,Tier 2,11269.25,Transfer to a Third-Party,Lagos,19:24:08,Normal
Customer 68,Individual,Tier 2,4860.68,Transfer to a Third-Party,Enugu,16:34:18,Normal
Customer 69,Individual,Tier 3,24004.52,Payment for Goods/Services,Enugu,12:07:19,Normal
Customer 70,Individual,Tier 2,4427.14,Withdrawal,Abuja,17:05:18,Normal
Customer 71,Corporate,Tier 2,22268.89,Withdrawal,Ibadan,23:35:56,Normal
Customer 72,Corporate,Tier 2,5498.76,Payment for Goods/Services,Enugu,8:07:52,Normal
Customer 73,Individual,Tier 1,34738.97,Withdrawal,Abuja,9:16:50,Normal
Customer 74,Individual,Tier 1,15132.16,Withdrawal,Abuja,7:35:32,Normal
Customer 75,Individual,Tier 2,17496.39,Withdrawal,Lagos,23:13:56,Normal
Customer 76,Corporate,Tier 1,39493.92,Withdrawal,Enugu,18:35:23,Normal
Customer 77,Individual,Tier 2,4005.77,Payment for Goods/Services,Port Harcourt,18:25:33,Normal
Customer 78,Corporate,Tier 1,27039.98,Payment for Goods/Services,Lagos,3:28:27,Normal
Customer 79,Corporate,Tier 1,38054.07,Withdrawal,Enugu,3:52:47,Normal
Customer 80,Corporate,Tier 2,33332.03,Payment for Goods/Services,Abuja,16:39:11,Normal
Customer 81,Corporate,Tier 2,28967.51,Withdrawal,Enugu,10:39:13,Normal
Customer 82,Corporate,Tier 2,22824.63,Payment for Goods/Services,Ibadan,20:31:25,Normal
Customer 83,Individual,Tier 1,11496.03,Payment for Goods/Services,Port Harcourt,19:37:08,Normal
Customer 84,Corporate,Tier 1,16985.1,Payment for Goods/Services,Enugu,0:59:32,Normal
Customer 85,Corporate,Tier 2,16156.51,Withdrawal,Abuja,19:54:38,Normal
Customer 86,Corporate,Tier 2,36560.73,Payment for Goods/Services,Port Harcourt,1:48:19,Normal
Customer 87,Corporate,Tier 3,7339.67,Transfer to a Third-Party,Lagos,6:25:04,Normal
Customer 88,Corporate,Tier 1,17694.16,Transfer to a Third-Party,Lagos,19:31:50,Normal
Customer 89,Individual,Tier 3,12815.0,Payment for Goods/Services,Enugu,2:58:27,Normal
Customer 90,Corporate,Tier 2,11298.02,Withdrawal,Abuja,21:30:31,Normal
Customer 91,Individual,Tier 2,33665.84,Withdrawal,Lagos,15:18:23,Normal
Customer 92,Individual,Tier 1,10368.84,Payment for Goods/Services,Port Harcourt,15:38:18,Normal
Customer 93,Individual,Tier 2,63784.7,Payment for Goods/Services,Ibadan,13:35:51,Normal
Customer 94,Individual,Tier 2,54972.99,Withdrawal,Enugu,16:24:54,Normal
Customer 95,Corporate,Tier 2,63933.52,Transfer to a Third-Party,Port Harcourt,1:01:02,Normal
Customer 96,Corporate,Tier 2,11716.03,Transfer to a Third-Party,Enugu,4:29:11,Normal
Customer 97,Corporate,Tier 2,9541.1,Payment for Goods/Services,Lagos,15:38:38,Normal
Customer 98,Corporate,Tier 3,10666.85,Transfer to a Third-Party,Lagos,4:17:31,Normal
Customer 99,Individual,Tier 2,24484.71,Transfer to a Third-Party,Port Harcourt,1:25:32,Normal
Customer 100,Corporate,Tier 2,9714.77,Withdrawal,Port Harcourt,2:09:47,Normal
Customer 101,Individual,Tier 2,6142.26,Transfer to a Third-Party,Lagos,14:27:36,Normal
Customer_Special 02,Individual,Tier 3,640238.41,Withdrawal,Abuja,0:06:43,Normal
Customer 103,Corporate,Tier 1,16900.35,Payment for Goods/Services,Port Harcourt,10:35:59,Normal
Customer 104,Corporate,Tier 1,33083.48,Payment for Goods/Services,Ibadan,11:37:44,Normal
Customer 105,Individual,Tier 2,32694.84,Transfer to a Third-Party,Port Harcourt,8:07:07,Normal
Customer 106,Individual,Tier 1,16800.68,Withdrawal,Abuja,3:18:40,Normal
Customer 107,Individual,Tier 2,13910.42,Withdrawal,Abuja,3:49:14,Normal
Customer 108,Corporate,Tier 2,60706.98,Payment for Goods/Services,Ibadan,8:30:43,Normal
Customer 109,Corporate,Tier 2,15231.26,Withdrawal,Abuja,1:03:21,Normal
Customer 110,Individual,Tier 3,30164.82,Payment for Goods/Services,Lagos,11:44:15,Normal
Customer 111,Individual,Tier 2,15730.12,Payment for Goods/Services,Enugu,6:58:47,Normal
Customer 112,Individual,Tier 1,15063.4,Transfer to a Third-Party,Lagos,23:31:24,Normal
Customer 113,Corporate,Tier 1,32191.58,Payment for Goods/Services,Lagos,4:20:48,Normal
Customer 114,Individual,Tier 3,19409.12,Transfer to a Third-Party,Ibadan,22:56:10,Normal
Customer 115,Corporate,Tier 3,1316.7,Payment for Goods/Services,Enugu,1:28:57,Normal
Customer 116,Corporate,Tier 2,15990.24,Payment for Goods/Services,Enugu,6:32:52,Normal
Customer 117,Corporate,Tier 1,6133.04,Transfer to a Third-Party,Port Harcourt,20:10:17,Normal
